Author,Title,Citation,PlaceofPublication,Publisher_Printer,YearOfPublications,Language (Original),Date-Travel_Begin,Date-Travel_End,Century,Decade Material Covers,Calendar-Conversion-Dates (Date arrived),Latitude,Longitude,PlaceDescribed,Place-ModernName,Country,Continent,Transcription of Description,Pages,Graphic,Page_Graphic,Fulltext Repository,Fulltext URI
James Cook,The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage,"The Project Gutenberg eBook of The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage, by James Cook and John Hawkesworth",London,Publisher_Printer,1821,English,1768-09-12,1771-07-12,18th century,1760s,1768-09-12,33.03690295,17.02293028,island of madeira,Madeira Island,Portugal,Africa; Atlantic Ocean,"When the island of Madeira is first approached from the sea, it has a very beautiful appearance; the sides of the hills being entirely covered with vines 10almost as high as the eye can distinguish; and the vines are green when every kind of herbage, except where they shade the ground, and here and there by the sides of a rill, is entirely burnt up, which was the case at this time.",10,,,Project Gutenberg,https://www.gutenberg.org/cache/epub/56196/pg56196-images.html#Page_3
James Cook,The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage,"The Project Gutenberg eBook of The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage, by James Cook and John Hawkesworth",London,Publisher_Printer,1821,English,1768-11-08,1771-07-12,18th century,1760s,1768-11-08,-22.78955025,-43.19889773,RIO DE JANEIRO,Rio de Janeiro,Brazil,South America,"Rio de Janeiro, or the river of Januarius, was probably so called from its having been discovered on the feast-day of that saint; and the town, which is the capital of the Portuguese dominions in America, derives its name from the river, which, indeed, is rather an arm of the sea, for it did not appear to receive any considerable stream of fresh water: it stands on a plain, close to the shore, on the west side of the bay, at the foot of several high mountains which rise behind it. It is neither ill designed nor ill built: the houses, in general, are of stone, and two stories high; every house having, after the manner of the Portuguese, a little balcony before its windows, and a lattice of wood before the balcony. I computed its circuit to be about three miles; for it appears to be equal in size to the largest country towns in England, Bristol and Liverpool not excepted: the streets are straight, and of a convenient breadth, intersecting each other at right angles; the greater part, however, lie in a line with the citadel called St. Sebastian, 33which stands on the top of a hill that commands the town.",33,,,,
James Cook,The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage,"The Project Gutenberg eBook of The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage, by James Cook and John Hawkesworth",London,Publisher_Printer,1821,English,1768-12-14,1771-07-12,18th century,1760s,1768-12-14,-54.83286007,-64.91486472,Le Maire Strait,Le Maire Strait,Argentine,South America,"Having been on shore four hours, they returned about nine in the evening, with above an hundred different plants and flowers, all of them wholly unknown to the botanists of Europe. They found the country about the bay to be in general flat, the bottom of it in particular was a plain covered with grass, which might easily have been made into a large quantity of hay; they found also abundance of good wood and water, and fowl in great plenty. Among other things, of which nature has been liberal in this place, is Winter’s bark, Winteranea aromatica; which may easily be known by its broad leaf, shaped like the laurel, of a light green colour without, and inclining to blue within; the bark is easily stripped with a bone or a stick, and its virtues are well known; it may be used for culinary purposes 48as a spice, and is not less pleasant than wholesome: here is also plenty of wild celery and scurvy-grass. The trees are chiefly of one kind, a species of the birch, called Betula antarctica; the stem is from thirty to forty feet long, and from two to three feet in diameter, so that in a case of necessity they might possibly supply a ship with top-masts; they are a light white wood, bear a small leaf, and cleave very straight. Cranberries were also found here in great plenty, both white and red.",48,,,,
James Cook,The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage,"The Project Gutenberg eBook of The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage, by James Cook and John Hawkesworth",London,Publisher_Printer,1821,English,1768-12-16,1771-07-12,18th century,1760s,1768-12-16,-53.91593303,-69.33662846,TERRA DEL FUEGO,Tierra del Fuego,Chile and Argentina,South America,"Their faces were painted in various forms: the region of the eye was in general white, and the rest of the face adorned with horizontal streaks of red and black; yet scarcely any two were exactly alike. This decoration seems to be more profuse and elaborate upon particular occasions; for the two gentlemen who introduced Mr. Banks and the Doctor into the town were almost covered with streaks of black in all directions, so as to make a very striking appearance. Both men and women wore bracelets of such beads as they could make themselves of small shells or bones; the women both upon their wrists and ancles, the men upon their wrists only: but to compensate for the want of bracelets on their legs, they wore a kind of fillet of brown worsted round their heads. They seemed to set a particular value upon any thing that was red, and preferred beads even to a knife or a hatchet.",61,,,,
James Cook,The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage,"The Project Gutenberg eBook of The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage, by James Cook and John Hawkesworth",London,Publisher_Printer,1821,English,1768-12-18,1771-07-12,18th century,1760s,1768-12-18,-53.91593303,-69.33662846,TERRA DEL FUEGO,Tierra del Fuego,Chile and Argentina,South America,"The inhabitants of this town were a small tribe, not more than fifty in number, of both sexes and of every age. Their colour resembles that of the rust of iron mixed with oil, and they have long black hair: the men are large, but clumsily built: their stature is from five feet eight to five feet ten: the women are much less, few of them being more than five feet high. Their whole apparel consists of the skin of a guanicoe, or seal, which is thrown over their shoulders, exactly in the state in which it came from the animal’s back.",61,,,,
James Cook,The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage,"The Project Gutenberg eBook of The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage, by James Cook and John Hawkesworth",London,Publisher_Printer,1821,English,1769-01-01,1771-07-12,18th century,1760s,1769-01-01,-53.91593303,-69.33662846,southeastern part of Terra del Fuego,Tierra del Fuego,Chile and Argentina,South America,"As we came nearer, though here and there we discovered patches of snow, the sides of the hills and the sea coast appeared to be covered with a beautiful verdure. The hills are lofty, but not mountainous, though the summits of them are quite naked. The soil in the valleys is rich, and of a considerable depth: and at the foot of almost every hill there is a brook, the water of which has a reddish hue, like that which runs through our turf bogs in England; but it is by no means ill tasted, and, upon the whole, proved to be the best that we took in during our voyage.",68,,,,
James Cook,The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage,"The Project Gutenberg eBook of The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage, by James Cook and John Hawkesworth",London,Publisher_Printer,1821,English,1769-03-01,1771-07-12,18th century,1760s,1769-03-01,-39.00161724,-84.0152001,The south seas,Pacific ocean,,South America,"Many birds, as usual, were constantly about the ship, so that Mr. Banks killed no less than 62 in one day; and what is more remarkable, he caught two forest flies, both of them of the same species, but different from any that have hitherto been described; these probably belonged to the birds, and came with them from the land, which we judged to be at a great distance. Mr. Banks also, about this time, found a large cuttle-fish, which had just been killed by the birds, floating in a mangled condition upon the water; it is very different from the cuttle-fishes that are found in the European seas; for its arms, instead of suckers, were furnished with a double row of very sharp talons, which resemble those of a cat, and, like them, were retractable into a sheath of skin, from which they might be thrust at pleasure. Of 75this cuttle-fish we made one of the best soups we had ever tasted.",75,,,,
James Cook,The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage,"The Project Gutenberg eBook of The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage, by James Cook and John Hawkesworth",London,Publisher_Printer,1821,English,1769-04-10,1771-07-12,18th century,1760s,1769-04-10,-17.64859937,-149.4195244,OTAHEITE,Tahiti,French Polynesia,Oceania,"In every canoe there were young plantains, and branches of a tree which the Indians call E’ Midho: these, as we afterwards learnt, were brought as tokens of peace and amity; and the people in one of the canoes handed them up the ship’s side, making signals at the same time with great earnestness, which we did not immediately understand; at length we guessed that they wished these symbols should be placed in some conspicuous part of the 85ship; we, therefore, immediately stuck them among the rigging, at which they expressed the greatest satisfaction. We then purchased their cargoes, consisting of cocoa-nuts, and various kinds of fruit, which, after our long voyage, were very acceptable.",84,,,,
James Cook,The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage,"The Project Gutenberg eBook of The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage, by James Cook and John Hawkesworth",London,Publisher_Printer,1821,English,1769-04-18,1771-07-12,18th century,1760s,1769-04-18,-17.64859937,-149.4195244,OTAHEITE,Tahiti,French Polynesia,Oceania,"While some were employed in throwing up intrenchments, others were busy in cutting pickets and fascines, which the natives, who soon gathered round us as they had been used to do, were so far from hindering, that many of them voluntarily assisted us, bringing the pickets and 98fascines from the wood where they had been cut, with great alacrity: we had, indeed, been so scrupulous of invading their property, that we purchased every stake which was used upon this occasion, and cut down no tree till we had first obtained their consent. The soil where we constructed our fort was sandy, and this made it necessary to strengthen the intrenchments with wood; three sides were to be fortified in this manner; the fourth was bounded by a river, upon the banks of which I proposed to place a proper number of water-casks. This day we served pork to the ship’s company for the first time, and the Indians brought down so much bread-fruit and cocoa-nuts, that we found it necessary to send away part of them unbought, and to acquaint them by signs, that we should want no more for two days to come.",98,,,,
James Cook,The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage,"The Project Gutenberg eBook of The Three Voyages of Captain Cook Round the World. Vol. I. Being the Second of the First Voyage, by James Cook and John Hawkesworth",London,Publisher_Printer,1821,English,1769-05-27,1771-07-12,18th century,1760s,1769-05-27,-17.64859937,-149.4195244,TOOTAHAH,Tahiti,French Polynesia,Oceania,"As we were returning to the boat, however, we were entertained with a sight that in some measure compensated for our fatigue and disappointment. In our way we came to one of the few places where access to the island is not guarded by a reef, and, consequently, a high surf breaks upon the shore; a more dreadful one, indeed, I had seldom seen; it was impossible for any European boat to have lived in it; and if the best swimmer in Europe had, by any accident, been exposed to its fury, I am confident that he would not have been able to preserve himself from drowning, especially as the shore was covered with pebbles and large stones; yet, in the midst of these breakers, were ten or twelve Indians swimming for their amusement: whenever a surf broke near them, they dived under it, and, to all appearance with infinite facility, rose again on the other side. This diversion was greatly improved by the stern of an old canoe, which they happened to find upon the spot: they took this before them, and swam out with it as far as the outermost breach, then two or three of them getting into it, and turning the square end to the breaking wave, were driven in towards the shore with incredible rapidity, sometimes almost to the beach; but generally the wave broke over them before they got half way, in which case they dived, and rose on the other side with the canoe in their 138hands: they then swam out with it again, and were again driven back, just as our holiday youth climb the hill in Greenwich-park for the pleasure of rolling down it. At this wonderful scene we stood gazing for more than half an hour, during which time none of the swimmers attempted to come on shore, but seemed to enjoy their sport in the highest degree; we then proceeded in our journey, and late in the evening got back to the fort.",138,,,,
