PlaceName,PlaceNameModern,Latitude,Longitude,NameOfTraveler,YearOfTravel,Description,Citation,Hyperlink,Country,Region,Continent
Rotterdam,"Rotterdam, Netherlands",51.9244,4.4777,Lady Mary Wortley Montagu,1716,"All the streets are paved with broad stones, and before many of the meanest artificers doors are placed seats of various coloured marbles, so neatly kept, that, I assure you, I walked almost all over the town yesterday, _incognito_, in my slippers without receiving one spot of dirt; and you may see the Dutch maids washing the pavement of the street, with more application than ours do our bed-chambers. The town seems so full of people, with such busy faces, all in motion, that I can hardly fancy it is not some celebrated fair; but I see it is every day the same. 'Tis certain no town can be more advantageously situated for commerce. Here are seven large canals, on which the merchants ships come up to the very doors of their houses. The shops and warehouses are of a surprising neatness and magnificence, filled with an incredible quantity of fine merchandise, and so much cheaper than what we see in England, that I have much ado to persuade myself I am still so near it. Here is neither dirt nor beggary to be seen. One is not shocked with those loathsome cripples, so common in London, nor teased with the importunity of idle fellows and wenches, that chuse (sic) to be nasty and lazy. The common servants, and little shop-women, here, are more nicely clean than most of our ladies; and the great variety of neat dresses (every woman dressing her head after her own fashion) is an additional pleasure in seeing the town. ","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. I.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Netherlands,Western Europe,Europe
Hague,"The Hague, Netherlands",52.0705,4.3007,Lady Mary Wortley Montagu,1716,"We take care to make such short stages every day, that I rather fancy myself upon parties of pleasure, than upon the road; and sure nothing can be more agreeable than travelling in Holland.  The whole country appears a large garden; the roads are well paved, shaded on each side with rows of trees, and bordered with large canals, full of boats, passing and repassing.  Every twenty paces gives you the prospect of some villa, and every four hours that of a large town, so surprisingly neat, I am sure you would be charmed with them.  The place I am now at is certainly one of the finest villages in the world.  Here are several squares finely built, and (what I think a particular beauty) the whole set with thick large trees.  The _Vour-hout_ is, at the same time, the Hyde-Park and Mall of the people of quality; for they take the air in it both on foot and in coaches.  There are shops for wafers, cool liquors, &c.--I have been to see several of the most celebrated gardens, but I will not teaze (sic) you with their descriptions.","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. II.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Netherlands,Western Europe,Europe
Nimeguen,"Nijmegen, Netherlands",51.8449,5.8428,Lady Mary Wortley Montagu,1716,"If you were with me in this town, you would be ready to expect to receive visits from your Nottingham friends.  No two places were ever more resembling; one has but to give the Maese the name of the Trent, and there is no distinguishing the prospect.  The houses, like those of Nottingham, are built one above another, and are intermixed in the same manner with trees and gardens.  The tower they call Julius Caesar's, has the same situation with Nottingham castle; and I cannot help fancying, I see from it the Trentfield, Adboulton, places so well known to us.  'Tis true, the fortifications make a considerable difference.  All the learned in the art of war bestow great commendations on them; for my part, that know nothing of the matter, I shall content myself with telling you, 'tis a very pretty walk on the ramparts, on  which there is a tower, very deservedly called the Belvidera; where people go to drink coffee, tea, &c. and enjoy one of the finest prospects in the world.  The public walks have no great beauty but the thick shade of the trees, which is solemnly delightful.  But I must not forget to take notice of the bridge, which appeared very surprising to me.  It is large enough to hold hundreds of men, with horses and carriages.  They give the value of an English two-pence to get upon it, and then away they go, bridge and all, to the other side of the river, with so slow a motion, one is hardly sensible of any at all.  I was yesterday at the French church, and stared very much at their manner of service.  The parson clapped on a broad-brimmed hat in the first place, which gave him entirely the air of _what d'ye call him_, in Bartholomew fair, which he kept up by extraordinary antic gestures, and preaching much such stuff as the other talked to the puppets.  However, the congregation seemed to receive it with great devotion; and I was informed by some of his flock, that he is a person of particular fame amongst them. ","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. III.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Netherlands,Western Europe,Europe
Cologn,"Cologne, Germany",50.9375,6.9603,Lady Mary Wortley Montagu,1716,"I slept so well for three hours, that I found myself perfectly recovered, and have had spirits enough to go and see all that is curious in the town, that is to say, the churches, for here is nothing else worth seeing.  This is a very large town, but the most part of it is old built.  The Jesuits church, which is the neatest, was shewed (sic) me, in a very complaisant manner, by a handsome young Jesuit; who, not knowing who I was, took a liberty in his compliments and railleries, which very much diverted me.  Having never before seen any thing of that nature, I could not enough admire the magnificence of the altars, the rich images of the saints (all massy silver) and the _enchassures_ of the relicks (sic); though I could not help murmuring, in my heart, at the profusion of pearls, diamonds, and rubies, bestowed on the adornment of rotten teeth, and dirty rags.  I own that I had wickedness enough to covet St Ursula's pearl necklaces; though perhaps this was no wickedness at all, an image not being certainly one's neighbour's; but I went yet farther, and wished the wench herself converted into dressing-plate.  I should also gladly see converted into silver, a great St Christopher, which I imagine would look very well in a cistern.   ","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. IV.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Germany,Western Europe; Central Europe,Europe
Nuremberg,"Nuremberg, Germany",49.4521,11.0767,Lady Mary Wortley Montagu,1716,"I have already passed a large part of Germany, have seen all that is remarkable in Cologn, Frankfort, Wurtsburg, and this place.  'Tis impossible not to observe the difference between the free towns and those under the government of absolute princes, as all the little sovereigns of Germany are.  In the first, there appears an air of commerce and plenty.  The streets are well-built, and full of people, neatly and plainly dressed.  The shops are loaded with merchandise, and the commonalty are clean and cheerful.  In the other you see a sort of shabby finery, a number of dirty people of quality tawdered (sic) out; narrow nasty streets out of repair, wretchedly thin of inhabitants, and above half of the common sort asking alms.","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. V.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Germany,Western Europe; Central Europe,Europe
Vienna,"Vienna, Austria",48.2082,16.3738,Lady Mary Wortley Montagu,1716,"This town, which has the honour of being the emperor's residence, did not at all answer my expectation, nor ideas of it, being much less than I expected to find it; the streets are very close, and so narrow, one cannot observe the fine fronts of the palaces, though many of them very well deserve observation, being truly magnificent.  They are built of fine white stone, and are excessive high.  For as the town is too little for the number of the people that desire to live in it, the builders seem to have projected to repair that misfortune, by clapping one town on the top of another, most of the houses being of five, and some of them six stories.  You may easily imagine, that the streets being so narrow, the rooms are extremely dark; and, what is an inconveniency much more intolerable, in my opinion, there is no house has so few as five or six families in it.  The apartments of the greatest ladies, and even of the ministers of state, are divided, but by a partition, from that of a taylor (sic) or shoemaker; and I know no body that has above two floors in any house, one for their own use, and one higher for their servants.  Those that have houses of their own, let Out the rest of them to whoever will take them; and thus the great stairs, (which are all of stone) are as common and as dirty as the street.  'Tis true, when you have once travelled through them, nothing can be more surprisingly magnificent than the apartments.  They are commonly a _suite_ of eight or ten large rooms, all inlaid, the doors and windows richly carved and gilt, and the furniture, such as is seldom seen in the palaces of sovereign princes in other countries.  Their apartments are adorned with hangings of the finest tapestry of Brussels, prodigious large looking glasses in silver frames, fine japan tables, beds, chairs, canopies, and window curtains of the richest Genoa damask or velvet, almost covered with gold lace or embroidery.  All this is made gay by pictures, and vast jars of japan china, and large lustres of rock crystal. ","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. VI.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Austria,Western Europe; Central Europe,Europe
"Fauxburg (sic) of
Vienna","Suburbs of Vienna, Austria",48.2082,16.3738,Lady Mary Wortley Montagu,1716,"It is very large, and almost wholly composed of delicious palaces.  If the emperor found it proper to permit the gates of the town to be laid open, that the Fauxburg might be joined to it, he would have one of the largest and best built cities in Europe.  Count Schoonbourn's villa is one of the most magnificent; the furniture all rich brocades, so well fancied and fitted up, nothing can look more gay and splendid; not to speak of a gallery, full of rarities of coral, mother of pearl, and, throughout the whole house, a profusion of gilding, carving, fine paintings, the most beautiful porcelain, statues of alabaster and ivory, and vast orange and lemon trees in gilt pots.","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. VII.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Austria,Western Europe; Central Europe,Europe
Prague,"Prague, Czechia",50.0755,14.4378,Lady Mary Wortley Montagu,1716,"The kingdom of Bohemia is the most desert of any I have seen in Germany.  The villages are so poor, and the post-houses so miserable, that clean straw and fair water are blessings not always to be met with, and better accommodation not to be hoped for. … THIS town was once the royal seat of the Bohemian king, and is still the capital of the kingdom.  There are yet some remains of its former splendour, being one of the largest towns in Germany, but, for the most part, old built, and thinly inhabited, which makes the houses very cheap.  Those people of quality, who cannot easily bear the expence of Vienna, chuse to reside here, where they have assemblies, music, and all other diversions, (those of a court excepted) at very moderate rates, all things being here in great abundance, especially the best wild-fowl I ever tasted.   ","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XIV.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Czechia,Central Europe; Eastern Europe,Europe
Dresden,"Dresden, Germany",51.0504,13.7373,Lady Mary Wortley Montagu,1716,"I have been told since, that 'tis common to find the bodies of travellers in the Elbe; but, thank God, that was not our destiny; and we came safe to Dresden, so much tired with fear and fatigue, it was not possible for me to compose myself to write.  After passing these dreadful rocks, Dresden appeared to me a wonderfully agreeable situation, in a fine large plain on the banks of the Elbe.  I was very glad to stay there a day to rest myself.  The town is the neatest I have seen in Germany; most of the houses are new built; the elector's palace is very handsome, and his repository full of curiosities of different kinds, with a collection of medals very much esteemed.   ","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XV.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Germany,Central Europe; Eastern Europe,Europe
Leipzig,"Leipzig, Germany",51.3397,12.3731,Lady Mary Wortley Montagu,1716,"PERHAPS I am partial to a town where they profess the protestant religion; but every thing seemed to me with quite another air of politeness than I have found in other places.  Leipzig, where I am at present, is a town very considerable for its trade, and I take this opportunity of buying pages liveries, gold stuffs for myself, &c. all things of that kind being at least double the price at Vienna; partly because of the excessive customs, and partly through want of genius and industry in the people, who make no one sort of thing there; so that the ladies are obliged to send, even for their shoes, out of Saxony.  The fair here is one of the most considerable in Germany, and the resort of all the people of quality, as well as of the merchants.  This is also a fortified town, but I avoid ever mentioning fortifications, being sensible that I know not how to speak of them.    ","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XV.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Germany,Central Europe; Eastern Europe,Europe
